SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
Marcia S Lewis (1892),,Enoch Lewis,Schooner 3 masted,1867.0,"Portland, ME",1892-09-02,1892.0,9,2,Great Egg Harbor Inlet,,,39.2987546,-74.5470606,Grounded,Wood,,123.9,29.8,10.7,347.11,329.75,"Boston, MA","Philadelphia, PA","Biddeford, ME",Lewis,6.0,,0.0,4500.0,1200.0,Coal,Ocean City,Y,Y,N,#1627; Total loss,39.2987546,-74.5470606
Florida (1892),,Old Bayline,Sidewheel steam,1876.0,"Baltimore, MD",1892-04-28,1892.0,4,28,Atlantic City,,,39.3642834,-74.4229266,Foundered while in tow,Wood,,260.0,36.1,13.6,1279.82,900.28,"Baltimore, MD",,,,,,,,,,,,,Y,#120257 In tow to scrap yard,39.3642834,-74.4229266
Wild Fire,,,Schooner,1866.0,"Davenport, MA",1892-04-12,1892.0,4,12,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded,,,84.0,23.0,8.0,108.9,103.4,"Thomaston, ME","South Amboy, NJ","Rockland, ME",,4.0,,0.0,3000.0,800.0,Coal,,N,N,N,#26294; Refloated,41.4218208,-73.2833176
Centurion,,,Sloop,,,1892-07-03,1892.0,7,3,Sandy Hook LSS NW .25 mi,40.47610,-74.02502,41.4218208,-73.2833176,Stranded,,,50.1,18.0,5.2,29.68,28.2,"New York, NY","New York, NY","Sandy Hook, NJ",Totten,3.0,,0.0,450.0,100.0,Coal,Sandy Hook,A,Y,N,#4703; Total loss,40.4761,-74.02502
Eben D Jordan #9,,Sandy Hook Pilots,Schooner,1883.0,"Boston, MA",,1892.0,,,Barnegat,,,39.7649223,-74.2693297,"Collision w/ ""Saginaw""",,,73.2,21.2,9.8,68.81,65.37,,,,Thomas Cooke,,,,,,,,N,N,N,#135645; Later refloated,39.7649223,-74.2693297
Mary E Simmons (1892),,,Schooner,1866.0,"Tuckahoe, NJ",1892-05-19,1892.0,5,19,Squan Beach LSS N 150 yds,40.12050,-74.02878,-,-,Grounded; Abandoned,,,110.3,29.3,8.5,210.55,200.0,"New York, NY","Norfolk, VA","New York, NY",Taylor,,,,3000.0,1600.0,Lumber,Squan Beach,A,Y,N,#16571; Total loss,40.1205,-74.02878
Sallie and Eliza,,,Sloop,1880.0,"Somers Point, NJ",1892-08-20,1892.0,8,20,Pecks Beach E .3 mi,39.24051,-74.60319,39.246322,-74.6123601,Foundered,,,28.6,11.2,7.9,6.01,5.91,"Somers Point, NJ",,,Hackett,2.0,,1.0,300.0,0.0,,Ocean City,A,,N,#115928,39.24051,-74.60319
Narragansett (1893),,"E D Douglass, MO",Schooner,1875.0,"Wilmington, DE",1893-08-24,1893.0,8,24,Highlands E 20 mi,,,-,-,Foundered in hurricane,Wood,,112.2,32.4,8.8,251.86,239.27,"Wilmington, DE","Philadelphia, PA","New Bedford, MA",Wilson Chase,6.0,,5.0,11000.0,937.0,425 ton coal,,Y,Y,N,#130029; total loss,,
James Baird,,D A Mullen,Schooner,1891.0,"Camden, NJ",1893-08-24,1893.0,8,24,Barnegat ENE 25 mi,,,39.7649223,-74.2693297,Dismasted in gale,Wood,,142.7,35.0,11.4,391.1,371.55,"Philadelphia, PA","Sullivan, ME","Philadelphia, PA",D A Mullen,4.0,3.0,1.0,25000.0,2000.0,575 ton Paving stones,,N,N,N,#77000; Capt injured and died,39.7649223,-74.2693297
Abby L Dow (1893),,Philip Young,Schooner,1870.0,"Tuckahoe, NJ",1893-12-08,1893.0,12,8,Hereford Inlet bar,,,39.01094,-74.7834445,Stranded,Wood,,120.2,30.5,9.5,347.5,330.13,"Philadelphia, PA","Rockport, ME","Philadelphia, PA",Douglas,6.0,,0.0,2500.0,1800.0,Stone,Hereford Inlet & Tathaus,Y,Y,N,#1945; Total loss,39.01094,-74.7834445
Emma B,,,Schooner,1890.0,"Tottenville, NY",1893-05-04,1893.0,5,4,Sandy Hook Point,,,40.4716971,-74.0167147,Stranded in heavy seas,Wood,US,73.0,18.0,8.6,56.73,53.4,"Perth Amboy, NJ",,Fishing trip,Newman,13.0,,0.0,9000.0,100.0,Fish,Sandy Hook,N,N,N,#136113; Refloated w/ no damage,40.4716971,-74.0167147
Booth Brothers,,,Schooner 3 masted,1887.0,"Madison, CT",1893-05-04,1893.0,5,4,Brigantine Shoal,39.39124,-74.37749,39.387617,-74.3345893,Grounded,Wood,US,136.8,31.0,10.2,347.62,330.24,"New London, CT","Tenants Harbor, ME","Philadelphia, PA",Burdick,8.0,,0.0,14000.0,3000.0,Plate glass; Paving stones,,A,Y,N,#3369; Total loss,39.39124,-74.37749
Harry B Diverty,,,Schooner,1873.0,"Dennisville, NJ",1893-07-01,1893.0,7,1,Cape May LSS SW 2 mi,,,38.9351125,-74.9060053,Stranded,Wood,US,110.3,23.0,8.6,176.0,166.9,"Camden, NJ","Port Eaton, NY","Philadelphia, PA",Taylor,5.0,,0.0,4000.0,550.0,Gravel,Cape May,N,N,N,#95187; Refloated; All saved,38.9351125,-74.9060053
John W Fox (1893),,,Schooner,1881.0,"Milton, DE",1893-10-24,1893.0,10,24,Absecon Inlet,,,39.3740643,-74.4097029,Grounded,,,86.5,24.0,6.0,82.0,,"Milton, DE","New York, NY","Atlantic City, NJ",Jones,4.0,,0.0,5000.0,,,Great Egg,N,N,N,#76266; Refloated,39.3740643,-74.4097029
Alice (1893),,M Jacobson,Bark,1865.0,"Damariscotta, ME",1893-02-06,1893.0,2,6,Long Beach LSS S 1.75 mi,39.56096,-74.23477,33.7700504,-118.1937395,Ran aground in fog,,Norway,170.0,35.0,22.0,977.0,,"Arandal, Norway","Dunkirk, France","New York, NY",Jacobsen,16.0,0.0,4.0,15000.0,,,Long Beach & Ship Bottom,A,,Y,,39.56096,-74.23477
James Butler,,,Schooner,1876.0,"Toltenville, NY",1893-02-19,1893.0,2,19,Sandy Hook,,,41.4218208,-73.2833176,Foundered,,,78.6,19.8,5.6,56.5,53.6,"New York, NY","Perth Amboy, NJ","Sandy Hook, NJ",,4.0,,0.0,,,Coal,,Y,Y,N,#13265; Sank,41.4218208,-73.2833176
Ethel,,,Schooner,1890.0,"Cherryfield, ME",1893-10-26,1893.0,10,26,Absecon Inlet,,,39.3740643,-74.4097029,Grounded,Wood,US,98.4,27.8,7.3,148.43,141.01,"Machias, ME","Bangor, ME","Atlantic City, NJ",Layton,5.0,,0.0,8000.0,1800.0,Lumber,,,,N,#136156,39.3740643,-74.4097029
J G Crate,,,Schooner,1865.0,"Absecon, NJ",1893-07-05,1893.0,7,5,Little Egg LSS SE 1.5 mi,,,-,-,Grounded,Wood,,64.5,22.4,5.2,43.32,41.16,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",Price,3.0,,0.0,1000.0,225.0,Brick,Little Egg,N,N,N,#12905; Refloated,,
Ivanhoe (1893),,,Tug steam,1883.0,"Philadelphia, PA",1893-02-19,1893.0,2,19,Atlantic Highlands,,,40.4078864,-74.034306,"Collision w/ ""Mary A Williams""",Steel,,85.3,19.0,9.4,94.52,47.26,"Philadelphia, PA","Philadelphia, PA","New York, NY",,6.0,,0.0,20000.0,,,,N,N,N,"Astern in tow of ""S S Kairn""",40.4078864,-74.034306
Thomas W Haven,,,Schooner 3 masted,1872.0,"Bath, ME",1893-06-26,1893.0,6,26,"Monmouth Beach, Long Branch",,,40.3303883,-73.9815262,Stranded,,,126.9,32.9,10.2,314.0,299.0,"Greenport, NY","Lambert's Point, VA","Orient, NY",W H Potter,6.0,0.0,2.0,10000.0,1200.0,Coal,,Y,Y,N,Total loss,40.3303883,-73.9815262
Frank A Williams,,,Schooner,1869.0,"Essex, MA",1893-08-29,1893.0,8,29,Sandy Hook LSS S 1.25 mi,,,41.4218208,-73.2833176,Stranded,Wood,,72.0,21.0,7.0,66.99,63.17,"Gloucester, MA",,Fishing trip,,11.0,0.0,0.0,2100.0,,,,N,N,N,#9853; Refloated,41.4218208,-73.2833176
S O Co of NY #57,,,Barge,1892.0,"Chester, PA",1893-02-20,1893.0,2,20,Ocean City SE 2 mi,,,38.3365032,-75.0849058,Stranded,Steel,US,241.5,37.0,18.0,1381.18,1310.14,"New York, NY",Cuba,"New York, NY",Chase,9.0,,0.0,50000.0,67200.0,Sugar,Ocean City,N,N,N,#116528; Refloated,38.3365032,-75.0849058
Allie B Cathrall,,,Schooner,1885.0,"Milford, DE",1893-11-16,1893.0,11,16,Absecon Inlet,,,39.3740643,-74.4097029,Grounded,Wood,US,97.3,26.2,6.3,108.95,103.51,"Wilmington, DE","New York, NY","Atlantic City, NJ",Hubbard,5.0,,0.0,5000.0,750.0,Lumber,,N,N,N,#106343; Refloated,39.3740643,-74.4097029
William C Bee,,,Schooner,1870.0,"Noank, CT",1893-08-23,1893.0,8,23,Cape May Brandywine Shoal,,,38.9351125,-74.9060053,Foundered in hurricane,Wood,,19.7,29.0,14.3,349.62,332.14,"Noank, CT","Sullivan, ME","Philadelphia, PA",Edward Rathburn,6.0,,0.0,11000.0,450.0,40 ton stone,,Y,Y,N,#80109; Total loss,38.9351125,-74.9060053
Lizzie Bell (1893),,,Schooner,1884.0,"New Gretna, NJ",1893-12-27,1893.0,12,27,Little Egg Harbor S 2 mi,,,39.6204823,-74.319235,Grounded,,,56.0,20.3,5.6,44.0,41.0,"Tuckerton, NJ","New York, NY","New Gretna, NJ",French,3.0,,0.0,2000.0,50.0,Coal,Little Egg Harbor & Little Beach,N,N,N,#140711; Refloated,39.6204823,-74.319235
Empire State (1893),,,Schooner,1849.0,Stonington. CT,1893-08-24,1893.0,8,24,Squan Beach,,,-,-,Grounded,Wood,US,47.4,18.8,8.1,48.0,45.73,"Greenport, NY","New York, NY",Fishing trip,,10.0,,0.0,,,,,Y,Y,N,#8148; Total loss,,
James Gordon Bennett #9 (1893),,New York Pilots,Pilot schooner,1870.0,"Brooklyn, NY",1893-01-12,1893.0,1,12,Sea Girt LSS N .5 mi,40.16249,-74.01749,40.1320592,-74.0345813,Stranded in ice,Wood,US,75.0,21.0,7.5,54.3,51.59,"New York, NY",,Pilot service,Mix,9.0,,0.0,12000.0,,,Sea Girt & Monmouth Beach,A,Y,N,#75191; Total loss,40.16249,-74.01749
Dixie (1893),,Frank N Isham,Schooner - Barge,1890.0,"Portsmouth, VA",1893-04-20,1893.0,4,20,Forked River LSS S 1.75 mi,39.77873,-74.09401,39.8398413,-74.1901399,Stranded,Wood,US,160.0,23.6,11.0,298.3,283.38,"Norfolk, VA","Norfolk, VA","Boston, MA",Norton,3.0,,0.0,8000.0,4000.0,Pilings,Forked River; Barnegat,A,Y,N,"#157269; Total loss; w/ ""Magnolia""; Towed by ""Taurus""",39.77873,-74.09401
Roger Drury,,,Schooner,1872.0,"East Boston, MA",1893-03-11,1893.0,3,11,Sandy Hook Point,,,40.4716971,-74.0167147,Stranded,Wood,US,129.2,32.0,11.0,360.6,342.58,"Boston, MA","Satilla River, GA","Fall River, MA",Deloy,9.0,,0.0,5000.0,8800.0,Lumber,Sandy Hook,N,N,N,#110050; Refloated,40.4716971,-74.0167147
Hattie S Williams,,,Schooner 3 masted,1879.0,"Bath, ME",1893-04-20,1893.0,4,20,Squan Beach N 1.5 mi,,,-,-,Stranded,Wood,,181.2,39.9,18.0,898.0,853.0,"Fall River, MA","Baltimore, MD","Fall River, MA",Allen,10.0,,0.0,20000.0,4000.0,Coal,Squan Beach,Y,Y,N,#95561; Total loss,,
Magnolia (1893),,E A Isham,Schooner - Barge,1891.0,"Portsmouth, VA",1893-04-20,1893.0,4,20,Forked River LSS S .75 mi,39.79331,-74.09143,39.8398413,-74.1901399,Stranded,Wood,US,140.2,23.8,12.0,277.4,263.53,"Boston, MA","Norfolk, VA","New York, NY",McLeod,3.0,,0.0,8000.0,4000.0,Pilings,"Forked River, Barnegat, Cedar Creek",A,Y,N,"#92275; Total loss;  w/ ""Dixie""; Towed by ""Taurus""",39.79331,-74.09143
Manitou,,,Schooner,1849.0,"Woolrich, ME",1893-12-01,1893.0,12,1,Five Fathom Bank Lightship,,,-32.1944444,115.6113889,Foundered,Wood,,98.1,25.3,11.0,199.98,189.98,"North Haven, ME",,"Philadelphia, PA",,,,,,,Stone,,Y,Y,N,#16082; Total loss,-32.1944444,115.6113889
Lizzie Henderson (1893),,Commonwealth Transportation Co,Steamship,1876.0,"Philadelphia, PA",1893-08-29,1893.0,8,29,Sea Isle City,,,39.1534477,-74.6929387,Damaged in storm,Wood,,129.0,23.0,18.0,281.0,197.15,"Philadelphia, PA","New York, NY","Philadelphia, PA",Thomas S VanKirk,11.0,,0.0,18000.0,6000.0,70 tons general merchandise,,N,N,N,#140212,39.1534477,-74.6929387
Baldwin (1893),,Nathan B Lewis,Bark,1891.0,"Meteghan River, NS",1893-03-02,1893.0,3,2,Brigantine Shoal,,,39.387617,-74.3345893,Stranded,Wood,England,167.0,34.2,13.2,561.0,,"Yarmouth, NS",,Fishing service,George Wetmore,3.0,,0.0,1200.0,,,S Brigantine,N,N,N,Refloated,39.387617,-74.3345893
Wells City,,James Askell & Co,Steamship,,,1893-03-11,1893.0,3,11,Seabright LSS,,,40.3614987,-73.9740262,Stranded,Steel,England,261.2,36.0,20.9,1814.0,1136.0,"Bristol, England","Bristol, England","New York, NY",Savage,31.0,,0.0,145000.0,50000.0,Tin plate,Seabright & Monmouth Beach #4,N,N,N,Refloated,40.3614987,-73.9740262
Henry R Congdon,,,Schooner 3 masted,1874.0,"Rocky Hill, CT",1893-04-20,1893.0,4,20,Deal Beach,,,40.2512782,-73.9921853,Stranded,Wood,US,131.7,32.5,8.9,374.22,355.51,"Boston, MA","Norfolk, VA","Boston, MA",Murcheson,7.0,,0.0,12000.0,,Coal,Deal Sta,Y,Y,N,#95311; Total loss,40.2512782,-73.9921853
Recta,,Gordon & Stamp,Steamship,1882.0,"Sunderland, England",1893-01-18,1893.0,1,18,Cold Spring LSS SW 4 mi,38.89814,-74.96806,41.4200937,-73.954583,Stranded,,England,313.0,40.1,29.4,2921.0,1913.0,"London, England","Serifos, Greece","Philadelphia, PA",Smith,27.0,,0.0,100000.0,15000.0,Iron ore,Cold Spring & Cape May,A,,N,,38.89814,-74.96806
Mary F Kelly,,,Schooner,,,1893-08-24,1893.0,8,24,Asbury Park  6th Ave,40.225625,-73.997275,40.227418,-74.006262,Stranded in storm,,US,66.0,21.9,9.1,59.5,56.52,"New York, NY","New York, NY",Fishing service,Christopher Graltan,11.0,,4.0,7500.0,200.0,,Deal,,,Y,#92350,40.225625,-73.997275
Mascott,,,Sloop,1890.0,"Port Republic, NJ",1893-09-02,1893.0,9,2,Absecon LSS NE .5 mi,,,39.4284503,-74.4957076,Grounded,,,37.0,15.9,3.9,13.72,13.03,"Somers Point, NJ",,Pleasure cruise,Parker,3.0,37.0,0.0,1800.0,,,Atlantic City,N,N,N,#92225; Refloated,39.4284503,-74.4957076
Hester A Seward,,Thomas Seward,Schooner,1885.0,"Taylor Island, MD",1893-06-26,1893.0,6,26,Chadwick LSS N .75 mi,,,-,-,Stranded,Wood,US,108.8,28.8,7.6,158.0,150.1,"Baltimore, MD","Norfolk, VA","Bridgeport, CT",Palmer,5.0,,0.0,7000.0,1500.0,Lumber,Chadwick,N,N,N,#95859; Refloated; partial loss,,
R G Magill,,,Schooner,1872.0,"Bridgeton, NJ",1893-04-14,1893.0,4,14,Squan Beach LSS S 1 mi,40.10219,-74.02989,-,-,Stranded,Wood,US,75.0,23.0,5.0,65.78,62.48,"Baltimore, MD","Choptank River, MD","Keyport, NJ",Eaton,4.0,0.0,0.0,2500.0,600.0,Oysters,Squan Beach,A,Y,N,#110039; Total loss,40.10219,-74.02989
P T Barnum (1894),,W W Blake,Schooner,1890.0,"Bridgeport, CT",1894-12-22,1894.0,12,22,Hereford Inlet South bar,,,39.01094,-74.7834445,Stranded,Wood,,158.7,36.5,17.2,668.0,634.5,"Bridgeport, CT","Bridgeport, CT","Philadelphia, PA",Blake,9.0,,0.0,35000.0,,,,N,N,N,"#150505; Refloated by tug ""North America""",39.01094,-74.7834445
Bramble,,P H Dixon & Harrison,Steamship,1888.0,"Cambelltown, PA",1894-06-25,1894.0,6,25,Brigantine Shoal,,,39.387617,-74.3345893,Grounded,Steel,England,260.0,37.1,16.9,1508.0,962.0,"Glasgow, Scotland",Puerto Rico,"New York, NY",Moxon,25.0,,0.0,35000.0,10000.0,Sugar,Brigantine,N,N,N,#96010; Refloated,39.387617,-74.3345893
Sunbeam (1894),,,Schooner,1880.0,"Tuckerton, NJ",1894-10-28,1894.0,10,28,Brigantine Shoal,39.43156,-74.32317,39.387617,-74.3345893,Stranded; Grounded,,,46.3,17.6,4.3,22.16,21.05,"Tuckerton, NJ","New York, NY","Tuckerton, NJ",Stiles,2.0,,0.0,1000.0,50.0,Coal,,N,N,N,#115730; Refloated,39.43156,-74.32317
Richard T Green (1894),Riberia,,Brig,1873.0,"Rockport, NB",1894-10-10,1894.0,10,10,Ship Bottom LSS,,,39.642897,-74.1804159,Stranded,Wood,US,115.0,29.2,12.5,300.23,285.23,"Boston, MA","New York, NY","Wilmington, NC",Schliene,8.0,0.0,0.0,10000.0,1000.0,Salt,Ship Bttom,N,N,N,#110784; Refloated,39.642897,-74.1804159
Young America,,,Steamship,1891.0,"Poughkeepsie, NY",1894-09-04,1894.0,9,4,Barnegat LSS N .25 mi,,,39.7649223,-74.2693297,,,,49.5,13.5,5.0,24.96,18.01,"Albany, NY","Atlantic City, NJ","New York, NY",Fleming,6.0,,0.0,,1000.0,,Barnegat,N,N,N,Refloated,39.7649223,-74.2693297
Commodore (1894),,,Schooner,1860.0,"Noank, CT",1894-02-07,1894.0,2,7,Little Egg LSS S 1.5 mi,,,-,-,Grounded,Wood,US,47.6,17.0,6.6,25.73,24.45,"New York, NY","New York, NY",Fishing trip,Peterson,6.0,,0.0,1300.0,150.0,Fish,Little Egg,N,N,Y,#5074; Refloated,,
F Grenville Russell,Grenville Russell,,Schooner,1868.0,"Portland, CT",1894-11-27,1894.0,11,27,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded; filled w/ water,Wood,US,94.0,28.0,8.2,173.05,164.4,"Hartford, CT","Portland, CT","Philadelphia, PA",Weed,6.0,,0.0,4000.0,2000.0,Stone,Sandy Hook,Y,Y,N,#9717; Total Loss,41.4218208,-73.2833176
Mary Ella (1894),,,Schooner,1868.0,"Leesburg, NJ",1894-09-01,1894.0,9,1,Atlantic City SSE .75 mi,,,39.3642834,-74.4229266,Stranded,Wood,US,50.8,18.1,5.6,28.92,27.47,"Somers Point, NJ","New York, NY","Atlantic City, NJ",Swift,2.0,,0.0,900.0,200.0,Bricks,Atlantic City,N,N,N,#16567; Refloated,39.3642834,-74.4229266
Addie P McFadden,,,Schooner,1890.0,"Bath, ME",1894-04-10,1894.0,4,10,Ocean City LSS NW .75 mi,39.28740,-74.55060,38.3365032,-75.0849058,Stranded,,,125.2,30.1,8.1,251.8,239.21,"Bath, ME","Boothbay, ME","Ocean City, NJ",Stewart,6.0,,0.0,14000.0,300.0,Ice,Ocean City,A,,N,#106750,39.2874,-74.5506
Rodman R Nickerson,,,Schooner 3 masted,1889.0,"Boston, MA",1894-12-27,1894.0,12,27,Seven Mile Beach,39.08570,-74.72042,19.3338672,-81.3816993,Stranded,Wood,US,160.9,35.0,13.6,509.1,483.66,"Newport, RI","Salem, MA","Philadelphia, PA",Calvin W Sprague,8.0,,1.0,30000.0,3000.0,Paving stones,Hereford; Stone Harbor; Tathams,A,Y,N,#110848; Total loss,39.0857,-74.72042
John Manning (1894),,,Sloop,1857.0,"Perth Amboy, NJ",1894-10-07,1894.0,10,7,Little Egg Harbor LSS N 1 mi,,,39.6204823,-74.319235,Stranded,,,41.5,15.0,3.5,13.42,12.75,"New York, NY","Perth Amboy, NJ","West Creek, NJ",Saummous,2.0,,0.0,500.0,150.0,Merchandise,,N,N,N,#13147; Refloated,39.6204823,-74.319235
Lurena Reed,,,Schooner,1883.0,"Somers Point, NJ",1894-10-10,1894.0,10,10,Ocean City LSS E .3 mi,39.27996,-74.55327,38.3365032,-75.0849058,Wrecked in gale,,,48.5,18.1,5.7,28.0,26.78,"Somers Point, NJ","New York, NY","English Creek, NJ",Risley,3.0,,0.0,800.0,200.0,Coal,,A,Y,N,#140669; Total loss,39.27996,-74.55327
Maria Louise,,New York City,Schooner,1883.0,"Noank, CT",1894-10-10,1894.0,10,10,Seabright N 2 mi,,,-,-,,,,58.8,19.2,7.9,43.34,41.18,"New York, NY",,Fishing,Erickson,8.0,,0.0,3500.0,400.0,,Seabright & Spermaceti Cove,Y,Y,Y,#91536; Total loss,,
Andes (1894),,Atlas SS Co,Steamship,1865.0,"Glasgow, Scotland",1894-01-22,1894.0,1,22,Little Egg Harbor S 4 mi,39.58525,-74.06100,39.6204823,-74.319235,Stranded,Iron,England,294.0,32.5,27.1,1869.0,1197.0,"Kingston, England","Sabanilla, Equador","New York, NY",Williams,42.0,,0.0,150000.0,150000.0,General,Litle Beach & Little Egg,N,N,N,#5426; Refloated,39.58525,-74.061
Robert H Mitchell,,,Schooner,1875.0,"Dorchester Cty, MD",1894-07-22,1894.0,7,22,Seabright LSS E 2 mi,40.38095,-73.93696,40.3614987,-73.9740262,Foundered,,US,104.0,28.6,7.1,164.0,155.48,"Baltimore, MD","New York, NY","Norfolk, VA",Pratt,5.0,0.0,0.0,5000.0,1030.0,Salt,Seabright Sta,A,Y,N,#110264; Total loss,40.38095,-73.93696
Francis J Campbell,,,Sloop / unrigged,1868.0,"Staten Island, NY",1894-03-07,1894.0,3,7,Corsons Inlet LSS SW 1.5 mi,39.20006,-74.65133,39.2158381,-74.6438383,Grounded / Burned,Wood,US,36.0,14.8,3.7,11.72,11.14,"Bridgeton, NJ","Townsends Inlet, NJ","Great Egg Harbor, NJ",Hilton,2.0,0.0,0.0,400.0,100.0,Cedar paste,Corsons Inlet Station,A,,N,#9813,39.20006,-74.65133
Susan H Richie,,E W Brown,Schooner 3 masted,1881.0,"East Boston, MA",1894-04-11,1894.0,4,11,Bayhead LSS NE .25 mi,40.06842,-74.03943,40.0717828,-74.0543036,Stranded in gale,,,158.0,35.8,12.8,540.54,513.57,"New York, NY","Portsmouth, VA","St John, NB",Priest,8.0,,0.0,10000.0,5500.0,Timber,Bay Head & Mantoloking,A,Y,N,#115807; Total loss; Crew saved,40.06842,-74.03943
H & J Blenderman,,,Schooner,1879.0,"Port Jefferson, NY",1894-08-10,1894.0,8,10,Hereford Inlet bar,,,39.01094,-74.7834445,Stranded,,US,145.6,34.0,16.3,498.0,472.72,"New York, NY","Richmond, ME","Philadelphia, PA",McLean,7.0,,,7500.0,1150.0,Ice,,,,N,#95579,39.01094,-74.7834445
Maria Pierson,,,Schooner,1864.0,"Forked River, NJ",1894-01-08,1894.0,1,8,Bay Head E 4 mi,,,40.0717828,-74.0543036,"Collision w/ ""Frank Vander Herchen""",,,126.0,31.0,11.0,286.13,271.83,"Perth Amboy, NJ",Virginia,"New York, NY",Hickman,7.0,,0.0,2000.0,1400.0,,Bay Head,,,N,#17042,40.0717828,-74.0543036
Albert W Smith,,,Schooner,1873.0,"Kennebunk, ME",1894-04-11,1894.0,4,11,Squan Beach NE .25 mi,,,-,-,Stranded,,,145.0,35.0,17.0,602.0,572.0,,"Philadelphia, PA","Providence, RI",Berry,8.0,,8.0,12000.0,3500.0,Coal,,,,N,#105288,,
Katie G Robinson,,,Schooner,1873.0,"Mays Landing, NJ",1894-07-10,1894.0,7,10,Absecon Inlet South bar,39.35701,-74.40213,39.3740643,-74.4097029,Stranded,,,116.4,29.6,9.3,299.4,284.43,"Somers Point, NJ","Kennebec, ME","Atlantic City, NJ",Robert,5.0,,0.0,4000.0,1000.0,Ice,,N,N,N,#14296; Refloated,39.35701,-74.40213
Frank Vanderherchen,,John G Schmidt,Schooner,1884.0,"Camden, NJ",1894-01-08,1894.0,1,8,Point Pleasant E 2 mi,,,40.0831714,-74.0681931,"Collision w/ ""Maria Pierson""",Wood,US,141.5,34.8,15.1,538.0,510.91,"Philadelphia, PA","New York, NY","Charleston, SC",J T Torbert,,,,18000.0,8150.0,"Nitrate of soda, dried wood,other",,N,N,N,"#120581; Towed to Jersey City, NJ",40.0831714,-74.0681931
James W Lee (1894),,,Schooner,1868.0,"English Creek, NJ",1894-02-26,1894.0,2,26,Barnegat Inlet,,,39.7660179,-74.1016824,Grounded in gale,Wood,US,43.5,18.2,4.5,20.0,19.0,"Bridgeton, NJ","Cape May, NJ","Barnegat City, NJ",Buck,2.0,,0.0,700.0,,,,N,N,N,#13903; Refloated,39.7660179,-74.1016824
Congress (1894),,,Schooner,1866.0,"Rio Grande, NJ",1894-04-16,1894.0,4,16,Hereford Inlet,,,39.01094,-74.7834445,Grounded,Wood,US,63.8,21.2,4.0,36.76,34.92,"Bridgeton, NJ","Hogs Island, VA","Hereford, NJ",Colwell,3.0,,0.0,1000.0,400.0,Oysters,,N,N,N,#5281; Refloated,39.01094,-74.7834445
William H Davenport,,,Schooner,1892.0,"Phillipsburg, ME",1894-11-12,1894.0,11,12,Brigantine Beach outer bar,39.36616,-74.38882,39.4101171,-74.3645906,Stranded,,,123.5,30.5,8.6,256.17,243.37,"Bath, ME","Kennebec, ME","Atlantic City, NJ",Stacy,6.0,,0.0,16000.0,1500.0,Ice,Atlantic City & Absecon,N,N,N,#81383; Refloated,39.36616,-74.38882
William E Hewlett (1894),,,Schooner,1872.0,"Smithville, NJ",1894-04-28,1894.0,4,28,Hereford Inlet N 1 mi,,,39.01094,-74.7834445,Grounded,,,59.0,16.5,4.7,22.51,21.38,"Somers Point, NJ","Hog Island, VA","Hereford, NJ",Shields,4.0,,0.0,700.0,250.0,Oysters,Hereford,N,N,N,#80298; Refloated,39.01094,-74.7834445
Katahdin,,,Brig,1864.0,"Brewer, ME",1894-10-16,1894.0,10,16,Cape May Prissy Wicks Shoal,,,38.8998346,-74.9423961,Stranded,,,112.5,27.3,9.3,213.0,203.0,"Bangor, ME","Bangor, ME","Philadelphia, PA",Phillips,6.0,,0.0,2000.0,1800.0,Laths,,N,N,N,#14015; Refloated; Towed to Philadelphia,38.8998346,-74.9423961
Ann J Trainer,,H W Derickson,Schooner,1881.0,"Camden, NJ",1894-09-06,1894.0,9,6,Absecon,,,39.4284503,-74.4957076,"Collision w/ ""S E Marvin""",Wood,US,141.8,35.2,11.7,426.88,405.54,"Philadelphia, PA","Kennebec, ME","Philadelphia, PA",H W Derickson,4.0,3.0,0.0,15000.0,519.0,692 ton ice,,,,N,#106031,39.4284503,-74.4957076
Fortuna (1894),,N B Bowen,Schooner,1883.0,"Boston, MA",1894-06-27,1894.0,6,27,Highlands SE 15 mi,,,-,-,Collision in fog,Wood,,151.4,34.5,14.5,612.82,582.18,"Boston, MA","Lanes Island, ME","Philadelphia, PA",N McLeod,8.0,0.0,0.0,22000.0,10000.0,1000 ton paring stone,,,,N,#120553,,
